"id","name_old_verbatim","name_old_clean","name_new","geo_long","geo_lat"
"1","De La Motte Picquet","Avenue De La Motte-piquet","Avenue De La Motte-picquet","2.30776","48.8558"
"2","Des Champs Elysées","Avenue Des Champs-elysées","Avenue Des Champs-élysées","2.30786","48.8697"
"3","Marbeuf","Avenue Marbeuf",NULL,"0","0"
"4","De Cherbourg","Galerie De Cherbourg","Rue Joseph-sansbœuf","2.32294","48.8755"
"5","Guéménée","Impasse Guéménée","Impasse Guéménée","2.36577","48.8541"
"6","De L' Opéra","Passage De L' Opéra","Boulevard Des Italiens","2.337","48.8714"
"7","D' Antin","Rue D' Antin","Rue D' Antin","2.33351","48.869"
"8","D' Astorg","Rue D' Astorg","Rue D' Astorg","2.31949","48.8731"
"9","D' Aguesseau","Rue D' Aguesseau","Rue D' Aguesseau","2.31963","48.8705"
"10","D' Albouy","Rue D' Albouy","Rue Lucien-sampaix","2.36086","48.8723"
"11","D' Alger","Rue D' Alger","Rue D' Alger","2.32995","48.8656"
"12","D' Amboise","Rue D' Amboise","Rue D' Amboise","2.33863","48.8711"
"13","D' Amsterdam","Rue D' Amsterdam","Rue D' Amsterdam","2.32703","48.8795"
"14","D' Angiviller","Rue D' Angiviller","Rue Du Louvre","2.34245","48.8641"
"15","D' Angoulême Du Temple","Rue D' Angoulême-du-temple","Rue Jean-pierre-timbaud","2.3743","48.8669"
"16","D' Angoulême Saint Honoré","Rue D' Angoulême-saint-honoré","Rue La Boétie","2.3123","48.8732"
"17","D' Anjou Au Marais","Rue D' Anjou-au-marais","Rue Pastourelle","2.35917","48.8628"
"18","Monthyon","Rue Monthyon","Rue Mouton-duvernet","2.32788","48.8319"
"19","D' Anjou Saint Honoré","Rue D' Anjou-saint-honoré","Rue D' Anjou","2.32213","48.8726"
"21","D' Arcole","Rue D' Arcole","Rue D' Arcole","2.34954","48.8541"
"22","D' Argenteuil","Rue D' Argenteuil","Rue D' Argenteuil","2.33386","48.8654"
"23","Quintaine","Rue Quintaine",NULL,"0","0"
"24","D' Arras","Rue D' Arras","Rue D' Arras","2.3516","48.8474"
"25","D' Assas","Rue D' Assas","Rue D' Assas","2.33194","48.8453"
"26","De La Chapelle","Rue De La Chapelle","Rue Riquet","2.36848","48.8896"
"27","D' Aumale","Rue D' Aumale","Rue D' Aumale","2.3359","48.8782"
"28","D' Austerlitz St Marcel","Rue D' Austerlitz-st-marcel","Rue Esquirol","2.36046","48.8349"
"29","D' Enfer","Rue D' Enfer","Avenue Denfert-rochereau","2.33452","48.8365"
"30","D' Enghien","Rue D' Enghien","Rue D' Enghien","2.35066","48.872"
"31","De L' Eglise","Rue De L' Eglise","Rue Des Batignolles","2.32125","48.8847"
"32","Cour Des Miracles","Cour Des Miracles",NULL,"0","0"
"33","D' Estrées","Rue D' Estrées","Rue D' Estrées","2.31129","48.8515"
"34","D' Hauteville","Rue D' Hauteville","Rue D' Hauteville","2.35065","48.8741"
"35","D' Orléans Saint Marcel","Rue D' Orléans-saint-marcel","Rue Daubenton","2.35237","48.841"
"36","Cardinet","Rue Cardinet","Rue Cardinet","2.31128","48.8854"
"37","De La Butte Chaumont","Boulevard De La Butte Chaumont","Boulevard De La Villette","2.37043","48.8785"
"40","De Strasbourg","Rue De Strasbourg","Rue Du 8-mai-1945","2.35875","48.8761"
"41","De L' Abbaye","Rue De L' Abbaye","Rue De L' Abbaye","2.33472","48.8542"
"42","De L' Ancienne Comédie","Rue De L' Ancienne-comédie","Rue De L' Ancienne-comédie","2.33856","48.8532"
"43","D' Isly","Passage D' Isly",NULL,"0","0"
"44","De L' Arbalète","Rue De L' Arbalète","Rue De L' Arbalète","2.34746","48.8399"
"45","De L' Arbre Sec","Rue De L' Arbre-sec","Rue De L' Arbre-sec","2.34215","48.86"
"46","De L' Arcade","Rue De L' Arcade","Rue De L' Arcade","2.32419","48.873"
"47","De L' Arcade Colbert","Rue De L' Arcade-colbert","Rue Colbert","2.33836","48.8682"
"48","De L' Arche Pépin","Rue De L' Arche-pépin","Rue Édouard Colonne","2.34556","48.8579"
